2017-07-20 10:56:53 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.019435 | 0.019459 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 10:56:54 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.012462 | 0.012489 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 10:56:54 | 8462 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.031193 | 0.031218 | SELECT `value` FROM `iwide_inter_member_config` WHERE `inter_id` = 'ALL_INTER_ID' AND `type_code` = 'member_auth_gift' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 10:56:54 | 8463 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.020975 | 0.020999 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 10:56:55 | 8463 | /index.php | query | e2c7406ea92e839997ec20c1834351d38731b261 | 0.022918 | 0.022934 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:04 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.01311 | 0.013138 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:05 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.014735 | 0.01476 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:06 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.037558 | 0.037584 | SELECT * FROM `iwide_scanqr_auth` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' AND `inter_id` = 'a484619482' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 11:00:06 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.01507 | 0.015095 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` = 1  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:06 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.010999 | 0.011029 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` =0  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:06 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.01389 | 0.013916 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:08 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.080495 | 0.080523 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:08 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.017884 | 0.017916 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:37 | 8463 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.01256 | 0.012587 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:39 | 8463 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.019986 | 0.020012 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:00:39 | 8463 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.059647 | 0.059673 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:01:00 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.012552 | 0.01258 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:01:00 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.01572 | 0.015747 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:01:22 | 8463 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.010662 | 0.01069 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:01:22 | 8463 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.01537 | 0.015396 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:04:00 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.021055 | 0.021081 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:04:00 | 8462 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.014899 | 0.014925 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:04:38 | 8463 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.013542 | 0.013569 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:04:39 | 8463 | /index.php | query | 1ddfe6ea6e9a4fcbb2dc3a2e5d4ce2416d233f2c | 0.02167 | 0.021696 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:39:39 | 8462 | /index.php | query | d872ae9d69a53653bc8271952e1b054a4c9d3c9d | 0.012905 | 0.012935 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 11:39:40 | 8462 | /index.php | query | d872ae9d69a53653bc8271952e1b054a4c9d3c9d | 0.012906 | 0.012947 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:01:19 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.032392 | 0.032423 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:01:20 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.04869 | 0.048715 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:01:22 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.063361 | 0.063388 | SELECT `member_info_id`, `open_id`, `member_mode`, `is_login` FROM `iwide_member_info` WHERE `inter_id` = 'a484619482' AND `open_id` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' AND `member_mode` = 2 AND `is_active` = 't' AND `is_login` = 't' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 12:01:22 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.05675 | 0.056777 | SELECT `member_info_id` FROM `iwide_member_info` WHERE `inter_id` = 'a484619482' AND `open_id` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' AND `member_mode` = 1 AND `is_active` = 't' AND `is_login` = 'f' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 12:01:22 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.012552 | 0.012578 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:01:22 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.01066 | 0.010684 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` = 1  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:01:22 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.009963 | 0.009994 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` =0  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:01:22 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.017248 | 0.017282 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:01:24 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.097604 | 0.09763 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:01:25 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.040905 | 0.040931 | SELECT `value` FROM `iwide_inter_member_config` WHERE `inter_id` = 'ALL_INTER_ID' AND `type_code` = 'member_auth_gift' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-20 12:01:26 | 8462 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.019493 | 0.019521 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:01:26 | 8462 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.012868 | 0.012899 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:02:36 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.012211 | 0.012239 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-20 12:02:36 | 8463 | /index.php | query | 5af2f68af19552994b20b176b0ef482932963920 | 0.018096 | 0.018123 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
