2017-07-19 11:01:58 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.01052 | 0.010552 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` = 1  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:01:58 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.010645 | 0.010664 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` =0  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:01:58 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.009328 | 0.00935 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:01:58 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.010004 | 0.010031 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:01:58 | 8462 | /index.php | query | c3cb816c607ae88c7454020ef80092f8ab6e6332 | 0.010029 | 0.010056 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:02 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.010612 | 0.01064 | SELECT * FROM `iwide_publics` WHERE `inter_id` = 'a484619482' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:02 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.010568 | 0.010597 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:02 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.0123 | 0.01233 | SELECT * FROM `iwide_fans` WHERE `openid` = 'oX3WojklzII6FwXZkN2ob0MpBzHo' | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
2017-07-19 11:09:03 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.025712 | 0.025833 | SELECT `value` FROM `iwide_inter_member_config` WHERE `inter_id` = 'ALL_INTER_ID' AND `type_code` = 'member_auth_gift' | host=30.iwide.cn:3306 dbname=iwide30vip username=vip
2017-07-19 11:09:03 | 8463 | /index.php | query | 767d41a1d3fd9c31f3b8932cd4d17254634b6837 | 0.011656 | 0.011685 | SELECT * FROM `iwide_access_tokens` WHERE `inter_id` = 'a484619482' AND `type` = 1  LIMIT 1 | host=120.76.194.181:3306 dbname=iwide30dev username=iwide30dev
